age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
54.0,Self-Employed,2.0,9.0,Widowed,Sales,Wife,Amer-Indian-Eskimo,Male,26207.19921875,0.0,50.0099983215332,1.0,1.0
43.459999084472656,Self-Employed,3.0,10.0,Married,White-Collar,Husband,Amer-Indian-Eskimo,Male,24082.890625,0.0,35.0,1.0,1.0
37.9900016784668,Private,4.0,13.0,NotMarried,Admin,Other-relative,Amer-Indian-Eskimo,Male,12120.1201171875,0.0,15.0,1.0,1.0
28.440000534057617,Self-Employed,2.0,9.0,Married,Other,Unmarried,Amer-Indian-Eskimo,Female,33627.6796875,0.0,16.010000228881836,1.0,1.0
17.0,Self-Employed,4.0,13.0,NotMarried,Admin,Other-relative,Amer-Indian-Eskimo,Male,0.0,1886.6600341796875,1.0,1.0,1.0
41.0,Self-Employed,2.0,9.0,NotMarried,Other,Own-child,Amer-Indian-Eskimo,Female,18836.48046875,0.0,45.0,1.0,1.0
23.030000686645508,Self-Employed,2.0,9.0,NotMarried,Other,Unmarried,Amer-Indian-Eskimo,Male,24738.529296875,0.0,40.0099983215332,1.0,1.0
32.900001525878906,Self-Employed,3.0,12.0,Married,Admin,Husband,Amer-Indian-Eskimo,Female,24818.529296875,0.0,11.989999771118164,1.0,1.0
60.54999923706055,Self-Employed,4.0,13.0,Married,Blue-Collar,Husband,Amer-Indian-Eskimo,Male,19158.08984375,0.0,40.0099983215332,1.0,1.0
22.0,Self-Employed,1.0,6.0,Married,Other,Husband,Black,Female,26524.400390625,0.0,84.0,1.0,1.0
17.0,Self-Employed,6.0,15.0,NotMarried,Admin,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,1.0,1.0,0.0
17.0,Self-Employed,2.0,9.0,NotMarried,Military,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,5.769999980926514,1.0,0.0
17.0,Self-Employed,4.0,13.0,NotMarried,Military,Own-child,White,Female,0.0,0.0,1.0,0.0,0.0
17.0,Self-Employed,4.0,13.0,NotMarried,White-Collar,Own-child,Amer-Indian-Eskimo,Female,0.0,0.0,1.0,1.0,0.0
