X1,X2,Y
6.219999999999999,3.3199999999999994,1.0
5.519999999999999,1.1199999999999999,1.0
2.4199999999999995,5.119999999999999,0.0
0.9199999999999998,3.2199999999999993,0.0
1.7199999999999998,4.02,0.0
4.719999999999999,4.219999999999999,0.0
1.9199999999999995,2.0199999999999996,1.0
1.3199999999999998,3.119999999999999,1.0
6.3199999999999985,1.8199999999999998,1.0
2.7199999999999993,4.219999999999999,0.0
0.019999999999999907,2.8199999999999994,0.0
0.9199999999999998,3.519999999999999,0.0
4.319999999999999,4.219999999999999,0.0
0.31999999999999984,2.7199999999999993,0.0
0.5199999999999998,4.219999999999999,0.0
2.7199999999999993,2.3199999999999994,1.0
1.6199999999999997,2.9199999999999995,1.0
6.119999999999998,1.9199999999999995,1.0
1.3199999999999998,4.719999999999999,0.0
4.119999999999999,0.52,1.0
1.5199999999999996,3.619999999999999,1.0
3.919999999999999,1.9199999999999995,1.0
4.319999999999999,4.119999999999999,0.0
0.4199999999999998,2.2199999999999998,0.0
2.4199999999999995,0.82,1.0
5.719999999999999,1.2199999999999998,1.0
0.5199999999999998,2.9199999999999995,0.0
0.5199999999999998,3.619999999999999,0.0
5.419999999999999,6.219999999999999,0.0
-0.38,1.5199999999999996,0.0
5.519999999999999,1.7199999999999998,1.0
0.7199999999999996,5.919999999999999,0.0
5.219999999999999,3.619999999999999,1.0
6.219999999999999,1.7199999999999998,1.0
1.3199999999999998,5.3199999999999985,0.0
1.4199999999999995,5.219999999999999,0.0
0.11999999999999988,5.619999999999999,0.0
2.619999999999999,1.6199999999999997,1.0
2.2199999999999998,3.0199999999999996,1.0
5.219999999999999,3.519999999999999,1.0
1.1199999999999997,3.419999999999999,0.0
3.119999999999999,4.219999999999999,0.0
5.3199999999999985,3.3199999999999994,1.0
4.519999999999999,1.5199999999999996,1.0
4.219999999999999,3.3199999999999994,0.0
1.6199999999999997,5.8199999999999985,0.0
5.419999999999999,1.42,1.0
4.519999999999999,3.8199999999999994,0.0
2.1199999999999997,2.619999999999999,1.0
